date,ic
2000-01-31,-0.2724050982092762
2000-02-29,0.27472321744722195
2000-03-31,0.01903419222933868
2000-04-28,0.0002819283929899961
2000-05-31,-0.1436425162283938
2000-06-30,-0.04374752969855035
2000-07-31,0.37306894186713296
2000-08-31,0.1355731225296443
2000-09-29,-0.21759706994462233
2000-09-30,0.22009138342762744
2000-10-31,0.16021080368906454
2000-11-30,-0.06660517835127422
2000-12-22,
2000-12-31,-0.01963457082581731
2001-01-31,0.29305574111318067
2001-02-28,-0.029137420869741953
2001-03-30,-0.34731161595484517
2001-03-31,0.17401612138454248
2001-04-30,0.17187654411643116
2001-05-31,-0.009684432460571043
2001-06-29,0.5833333333333333
2001-06-30,0.2717034563834628
2001-07-31,0.43817115847114213
2001-08-31,0.2724805728631204
2001-09-28,-0.5714285714285714
2001-09-30,0.0061644241706296735
2001-10-31,-0.535755034329163
2001-11-30,-0.2803306010350315
2001-12-28,
2001-12-31,0.023950676509313925
2002-01-31,0.022079003371686466
2002-02-28,-0.1858385260546865
2002-03-29,0.14638501094227996
2002-03-31,0.11655904843095515
2002-04-30,0.0008095059153290468
2002-05-31,0.24962407518072277
2002-06-28,0.15034207570080774
2002-06-30,0.1609165861779912
2002-07-31,0.3442640878241931
2002-08-29,
2002-08-30,0.39170297269336757
2002-09-30,-0.20182390738851286
2002-10-31,-0.16107770582793712
2002-11-29,-0.13260164543167977
2002-12-31,-0.07169494958331138
2003-01-31,0.2001850366110101
2003-02-28,0.035934319565443774
2003-03-31,0.04127656319106359
2003-04-30,-0.027762185134472768
2003-05-30,0.048956757666646485
2003-06-30,0.054291254492320085
2003-07-31,0.026993239153173504
2003-08-29,0.27638150451037025
2003-09-30,0.11181424196623121
2003-10-31,0.06498724382992573
2003-11-20,
2003-11-28,0.0812461971994983
2003-12-31,-0.20728960302908903
2004-01-30,-0.18791727759322982
2004-02-27,0.2832856603581653
2004-03-31,0.20941650268940515
2004-04-30,-0.2019699490775535
2004-05-31,0.09959726694662352
2004-06-30,0.15415252714234326
2004-07-30,0.26201466303348175
2004-08-31,0.04018190457826096
2004-09-30,0.309701076776576
2004-10-28,0.07094390134677044
2004-10-29,0.2842741935483873
2004-11-30,-0.20380264650523852
2004-12-29,-0.12198750911856661
2004-12-31,0.0022651766837813343
2005-01-31,-0.07538461538461537
2005-02-28,0.2642533936651584
2005-03-31,-0.22078504199176635
2005-04-29,0.20047814280726298
2005-05-31,0.008794398939160172
2005-06-30,0.31870571160249295
2005-07-29,-0.34603316906134146
2005-08-31,0.26150989312481837
2005-09-30,0.18864058402196743
2005-10-31,0.07854520618116625
2005-11-30,0.17505593972149947
2005-12-30,-1.0
2005-12-31,0.3214002738086974
2006-01-31,-0.10127398806644088
2006-02-28,0.22379906066191696
2006-03-31,0.03861548442587725
2006-04-28,0.16866781017724414
2006-05-31,-0.08744210868957428
2006-06-30,0.07951361757909851
2006-07-31,-0.02935066420704979
2006-08-31,0.012845680308799706
2006-09-29,
2006-09-30,-0.13237711044401923
2006-10-31,0.08557270821421767
2006-11-30,0.12865474821059805
2006-12-29,
2006-12-31,0.04132513676265554
2007-01-31,-0.03967981703830759
2007-02-28,0.08138528138528138
2007-03-30,
2007-03-31,-0.15037164093767857
2007-04-30,0.07949419002050578
2007-05-31,0.1183105911619165
2007-06-29,
2007-06-30,-0.3068562451628918
2007-07-31,0.0074452375973172915
2007-08-31,-0.08127105219596409
2007-09-28,
2007-09-30,0.05519574839747102
2007-10-31,0.00544498109130352
2007-11-30,0.10003537537519881
2007-12-31,0.28518256482820137
2008-01-31,0.2223691900704421
2008-02-29,0.1930572004473394
2008-03-31,0.002747132322667911
2008-04-30,0.13405437579446494
2008-05-30,-0.06922990149476181
2008-05-31,
2008-06-30,-0.22992402104032728
2008-07-31,-0.08164815897136178
2008-08-29,-0.328422450852084
2008-08-31,
2008-09-30,0.12449042214102342
2008-10-31,-0.012098188194038578
2008-11-28,0.06054909158642742
2008-11-30,
2008-12-31,0.05073353214580959
2009-01-30,0.13356715033748365
2009-02-27,0.36382201231975314
2009-02-28,
2009-03-31,0.04658162743962236
2009-04-30,-0.2152668190011714
2009-05-29,-0.18376383132960727
2009-05-31,
2009-06-30,-0.06695013078053628
2009-07-31,0.2150559631532876
2009-08-31,0.007423102233591989
2009-09-30,-0.12730142052254992
2009-10-30,0.23361973270368774
2009-11-26,0.47699162299076203
2009-11-30,-0.093781512605042
2009-12-31,0.16452367036820575
2010-01-29,-0.12308591466978375
2010-02-26,-0.10658586852871511
2010-02-28,
2010-03-31,-0.006504580970702916
2010-04-30,0.10777366472765736
2010-05-31,0.07631084907080822
2010-06-30,-0.0069804336329984135
2010-07-30,0.27202538339502913
2010-08-31,0.09788471708090961
2010-09-30,-0.11002543517947033
2010-10-31,0.24457133332915026
2010-11-30,0.11284169175294195
2010-12-31,0.23580665065265521
2011-01-31,0.03082308205882639
2011-02-28,-0.15333282969454304
2011-03-31,0.297474251466848
2011-04-29,0.19589030747148142
2011-05-31,-0.08458613482410417
2011-06-30,0.27360177280854175
2011-07-31,0.17562136435748282
2011-08-29,
2011-08-31,-0.08986634952538518
2011-09-30,0.2505886352674683
2011-10-31,0.23595774419215937
2011-11-30,0.20112815089018155
2011-12-30,
2011-12-31,-0.03189819253145473
2012-01-31,-0.11974012238422603
2012-02-29,-0.018810908816197007
2012-03-30,
2012-03-31,0.3878855237565991
2012-04-30,0.07506736168819718
2012-05-31,-0.20038278501328574
2012-06-29,
2012-06-30,-0.004251239945394211
2012-07-31,-0.0066481157381782195
