date,eligible_count,coverage__current_ratio_liquidity_measure,coverage__debt_to_equity_ratio,coverage__dividend_yield_ttm,coverage__ebitda_margins,coverage__market_strength_average_directional_index_14,coverage__operating_margins,coverage__oscillator_relative_strength_index_14,coverage__percent_distance_from_monthly_high,coverage__percent_distance_from_monthly_low,coverage__position_within_monthly_range,coverage__price_to_book_ratio,coverage__price_to_sales_ratio_ttm,coverage__quick_ratio_liquidity_measure,coverage__return_on_assets_roa,coverage__return_on_equity_roe,coverage__trend_price_to_simple_moving_average_12_ratio,coverage__volatility_average_true_range_14_normalized,mean__score_valuation,std__score_valuation,mean__score_quality,std__score_quality,mean__score_income,std__score_income,mean__score_balance,std__score_balance,mean__score_technical,std__score_technical
2000-01-31,39,0.0,0.0,0.5641025641025641,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6410256410256411,0.6410256410256411,0.0,0.0,0.0,0.0,0.0,5.828670879282072e-18,0.7451157822792793,,,3.9110129276568017e-17,0.9999999999999999,,,1.8503717077085943e-16,0.8442824960926516
2000-02-29,40,0.0,0.0,0.55,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.625,0.625,0.0,0.0,0.0,0.0,0.0,-3.552713678800501e-17,0.7422161667316898,,,-2.0185873175002847e-17,0.9999999999999999,,,4.4408920985006264e-17,0.8854071822198338
2000-03-31,44,0.6363636363636364,0.7954545454545454,0.5,0.0,0.0,0.8181818181818182,0.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7045454545454546,0.5681818181818182,0.6363636363636364,0.6136363636363636,0.6136363636363636,0.0,0.0,0.02282218073482188,0.7079728235223952,-0.027692924062737826,0.8785630424355422,7.569702440626067e-18,1.0,-0.056908650399305816,0.9018341667616161,4.9960036108132046e-17,0.8512738913747636
2000-04-28,44,0.6363636363636364,0.7954545454545454,0.5,0.0,0.0,0.8181818181818182,0.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.7045454545454546,0.5681818181818182,0.6363636363636364,0.6136363636363636,0.6136363636363636,0.0,0.0,0.02301872613926366,0.7056556647125275,-0.027692924062737826,0.8785630424355422,-4.289498049688105e-17,0.9999999999999999,-0.056908650399305816,0.9018341667616161,-7.632783294297951e-17,0.9284211188743338
2000-05-31,44,0.6363636363636364,0.7954545454545454,0.5681818181818182,0.0,0.0,0.8181818181818182,0.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.7045454545454546,0.5681818181818182,0.6363636363636364,0.6136363636363636,0.6136363636363636,0.0,0.0,0.020711892197337763,0.6993937117051445,-0.027692924062737826,0.8785630424355422,-3.552713678800501e-17,0.9999999999999998,-0.056908650399305816,0.9018341667616161,-1.2688263138573217e-16,0.8928580538851174
2000-06-30,45,0.6222222222222222,0.7777777777777778,0.5555555555555556,0.0,0.0,0.8,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.7333333333333333,0.5555555555555556,0.6222222222222222,0.6,0.6,0.0,0.0,0.01639147788898387,0.7997217898039924,-0.09711043594010665,0.9214985017978935,7.771561172376095e-17,0.9999999999999999,-0.11163769909155095,1.0169227581126723,-7.229359230117299e-17,0.8257124399912193
2000-07-31,45,0.6222222222222222,0.7777777777777778,0.5555555555555556,0.0,0.0,0.8,0.0,1.0,1.0,1.0,0.7333333333333333,0.5555555555555556,0.6222222222222222,0.6,0.6,0.0,0.0,0.023543134214269668,0.7859427672076488,-0.09711043594010665,0.9214985017978935,0.0,0.9999999999999999,-0.11163769909155095,1.0169227581126723,3.454027187722709e-17,0.8794386382279666
2000-08-31,45,0.6222222222222222,0.7777777777777778,0.5555555555555556,0.0,0.0,0.8,0.0,1.0,1.0,1.0,0.7333333333333333,0.5555555555555556,0.6222222222222222,0.6,0.6,0.0,0.0,0.021144440156232222,0.8133200262158381,-0.09711043594010665,0.9214985017978935,-6.661338147750939e-18,1.0,-0.11163769909155095,1.0169227581126723,-2.7138785046392715e-17,0.8546118743052892
2000-09-29,9,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,-2.7755575615628914e-17,1.0000000000000002,,,4.9343245538895844e-17,0.6923535158588674
2000-09-30,36,0.7777777777777778,0.9722222222222222,0.5555555555555556,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.6944444444444444,0.7777777777777778,0.75,0.75,0.0,0.0,-0.06044813171936926,0.9410638472189079,-0.051949605769861504,0.8680727416668377,-3.3306690738754695e-17,0.9999999999999999,-0.12107185566331917,1.0326335789196837,,
