date,ic
2000-01-31,-0.16481653457766784
2000-02-29,0.22843959773293912
2000-03-31,0.07385696815426002
2000-04-28,0.057720302599100805
2000-05-31,-0.1351145347691929
2000-06-30,-0.03421863073355426
2000-07-31,0.3716385572864971
2000-08-31,0.11963855539535635
2000-09-29,-0.22382203198765235
2000-09-30,0.21154902284546928
2000-10-31,0.20418360617087317
2000-11-30,-0.04632515840652957
2000-12-22,
2000-12-31,-0.03058777945550296
2001-01-31,0.21088300774537497
2001-02-28,0.060078211840691474
2001-03-30,-0.3575823248045629
2001-03-31,0.15981349467403097
2001-04-30,0.23641964087853645
2001-05-31,-0.002712200423429283
2001-06-29,0.5788544409159492
2001-06-30,0.2616330119498125
2001-07-31,0.4608267935240868
2001-08-31,0.2032649562176798
2001-09-28,-0.6265515005254438
2001-09-30,-0.029460822206316403
2001-10-31,-0.5326715493819802
2001-11-30,-0.24542688610195998
2001-12-28,
2001-12-31,0.04783463008406035
2002-01-31,-0.03768768714545432
2002-02-28,-0.21105024440418746
2002-03-29,0.27329719724997426
2002-03-31,0.12576497337345727
2002-04-30,-0.049211520862062624
2002-05-31,0.28136082826793724
2002-06-28,-0.07568886972127649
2002-06-30,0.17069139568620542
2002-07-31,0.3573159667811476
2002-08-29,
2002-08-30,0.4063347178793691
2002-09-30,-0.29094597682498147
2002-10-31,-0.1341557342073894
2002-11-29,-0.05116257719191539
2002-12-31,-0.11001764018960741
2003-01-31,0.1830332796708173
2003-02-28,-0.04911390724451799
2003-03-31,0.1305233258293261
2003-04-30,-0.1475381171912789
2003-05-30,0.05426925372886302
2003-06-30,0.08610609106594501
2003-07-31,0.017691605974081866
2003-08-29,0.3677067213318911
2003-09-30,0.1035978092155919
2003-10-31,0.04484498807534592
2003-11-20,
2003-11-28,0.11925255300728597
2003-12-31,-0.25316414446042895
2004-01-30,-0.20540495841418224
2004-02-27,0.3030191525443202
2004-03-31,0.2229646964231488
2004-04-30,-0.18495443765348857
2004-05-31,-0.0020208567290692057
2004-06-30,0.2607415536252245
2004-07-30,0.27363254502957407
2004-08-31,0.0664037770272636
2004-09-30,0.23860219453408948
2004-10-28,0.14318181818181822
2004-10-29,0.23017919889717117
2004-11-30,-0.24520021902092284
2004-12-29,-0.28397225903675705
2004-12-31,0.06816605075040931
2005-01-31,0.0019971046465690353
2005-02-28,0.27125924185424966
2005-03-31,-0.22635894898564968
2005-04-29,0.18261429484500066
2005-05-31,0.01955587210957919
2005-06-30,0.3240204513618903
2005-07-29,-0.3777791701629482
2005-08-31,0.2684398699654795
2005-09-30,0.17341683904814656
2005-10-31,0.08147403936508732
2005-11-30,0.20299879157986786
2005-12-30,-0.8660254037844386
2005-12-31,0.3386017851172324
2006-01-31,-0.12152420361413058
2006-02-28,0.22821560617686845
2006-03-31,0.06043368600880913
2006-04-28,0.16619914772075753
2006-05-31,-0.053333057686619174
2006-06-30,0.07072734565494486
2006-07-31,-0.05198100167770028
2006-08-31,-0.004395452347746716
2006-09-29,
2006-09-30,-0.12307647993031835
2006-10-31,0.1108187895641569
2006-11-30,0.11392682098309985
2006-12-29,
2006-12-31,0.01922013315862608
2007-01-31,-0.009016260555117244
2007-02-28,0.07133995599397452
2007-03-30,
2007-03-31,-0.14061357384136705
2007-04-30,0.0702900786743504
2007-05-31,0.12850267716649597
2007-06-29,
2007-06-30,-0.30307188968780713
2007-07-31,-0.0043946573399576555
2007-08-31,-0.09163438005371077
2007-09-28,
2007-09-30,0.07434478115491823
2007-10-31,0.0475628831040299
2007-11-30,0.06492698159106712
2007-12-31,0.3556820595258457
2008-01-31,0.22432494425864752
2008-02-29,0.22688655953942033
2008-03-31,0.01155963069842742
2008-04-30,0.16266994288011621
2008-05-30,-0.06756917023029176
2008-05-31,
2008-06-30,-0.2624887780110759
2008-07-31,-0.05657267505455933
2008-08-29,-0.26895528006558866
2008-08-31,
2008-09-30,0.09336566014976995
2008-10-31,-0.014612368827097377
2008-11-28,0.04396914482225168
2008-11-30,
2008-12-31,0.03773238729898053
2009-01-30,0.11108773552820564
2009-02-27,0.3776749237981022
2009-02-28,
2009-03-31,-0.06549715665872027
2009-04-30,-0.1681319029043798
2009-05-29,-0.19261910865021512
2009-05-31,
2009-06-30,-0.05083744478015747
2009-07-31,0.21372915892744784
2009-08-31,-0.001673732124715739
2009-09-30,-0.09920732555839465
2009-10-30,0.22219733576756467
2009-11-26,0.3933088821151898
2009-11-30,-0.12582039883307045
2009-12-31,0.1814015932634819
2010-01-29,-0.11065397226500523
2010-02-26,-0.12222884902174173
2010-02-28,
2010-03-31,0.023791476648383863
2010-04-30,0.022792117704446113
2010-05-31,0.07854938085892574
2010-06-30,0.02442313656164914
2010-07-30,0.2593131879650649
2010-08-31,0.13455553068679169
2010-09-30,-0.09394092620689655
2010-10-31,0.21958617685524148
2010-11-30,0.0871303742493249
2010-12-31,0.2374365500239513
2011-01-31,0.07534075622264182
2011-02-28,-0.21119936905527487
2011-03-31,0.3255924050788011
2011-04-29,0.11737716020826099
2011-05-31,-0.08733924945728154
2011-06-30,0.21327449003050655
2011-07-31,0.1741777221384883
2011-08-29,
2011-08-31,-0.06958389578122588
2011-09-30,0.2467275681295089
2011-10-31,0.26399954564358524
2011-11-30,0.16780018511995076
2011-12-30,
2011-12-31,-0.01706767386041153
2012-01-31,-0.09497031250269024
2012-02-29,-0.036613290103479156
2012-03-30,
2012-03-31,0.3961359310411654
2012-04-30,0.06679983923643315
2012-05-31,-0.16514844241711357
2012-06-29,
2012-06-30,-0.026464213842468196
2012-07-31,0.006986243312753396
