date,ticker,weight
2000-02-01,CIMSA,0.2
2000-02-01,CLEBI,0.2
2000-02-01,IEYHO,0.2
2000-02-01,OYAKC,0.2
2000-02-01,RALYH,0.2
2000-03-01,BRYAT,0.2
2000-03-01,CIMSA,0.2
2000-03-01,EREGL,0.2
2000-03-01,HEKTS,0.2
2000-03-01,OYAKC,0.2
2000-04-03,AKSA,0.2
2000-04-03,BSOKE,0.2
2000-04-03,OYAKC,0.2
2000-04-03,TUPRS,0.2
2000-04-03,ULKER,0.2
2000-05-01,AKSA,0.2
2000-05-01,BSOKE,0.2
2000-05-01,OYAKC,0.2
2000-05-01,TUPRS,0.2
2000-05-01,ULKER,0.2
2000-06-01,ANSGR,0.2
2000-06-01,ISCTR,0.2
2000-06-01,OYAKC,0.2
2000-06-01,TUPRS,0.2
2000-06-01,TURSG,0.2
2000-07-03,ARCLK,0.2
2000-07-03,BSOKE,0.2
2000-07-03,FROTO,0.2
2000-07-03,OYAKC,0.2
2000-07-03,TUPRS,0.2
2000-08-01,BSOKE,0.2
2000-08-01,CLEBI,0.2
2000-08-01,IPEKE,0.2
2000-08-01,OYAKC,0.2
2000-08-01,TUPRS,0.2
2000-09-01,ANSGR,0.2
2000-09-01,CLEBI,0.2
2000-09-01,OYAKC,0.2
2000-09-01,TUPRS,0.2
2000-09-01,TURSG,0.2
2000-09-30,AGHOL,0.2
2000-09-30,DOHOL,0.2
2000-09-30,EGEEN,0.2
2000-09-30,IPEKE,0.2
2000-09-30,SAHOL,0.2
2000-10-02,BSOKE,0.2
2000-10-02,CLEBI,0.2
2000-10-02,OYAKC,0.2
2000-10-02,TUPRS,0.2
2000-10-02,TURSG,0.2
2000-11-01,CLEBI,0.2
2000-11-01,FROTO,0.2
2000-11-01,OYAKC,0.2
2000-11-01,TUPRS,0.2
2000-11-01,ULKER,0.2
2000-12-01,BSOKE,0.2
2000-12-01,CLEBI,0.2
2000-12-01,HEKTS,0.2
2000-12-01,OYAKC,0.2
2000-12-01,TUPRS,0.2
2000-12-25,AGHOL,0.2
2000-12-25,ALARK,0.2
2000-12-25,BRYAT,0.2
2000-12-25,DOHOL,0.2
2000-12-25,IPEKE,0.2
2000-12-31,AGHOL,0.2
2000-12-31,ALARK,0.2
2000-12-31,BRYAT,0.2
2000-12-31,DOHOL,0.2
2000-12-31,IPEKE,0.2
2001-01-01,ANSGR,0.2
2001-01-01,BSOKE,0.2
2001-01-01,CLEBI,0.2
2001-01-01,OYAKC,0.2
2001-01-01,TUPRS,0.2
2001-02-01,BSOKE,0.2
2001-02-01,CLEBI,0.2
2001-02-01,OYAKC,0.2
2001-02-01,TUPRS,0.2
2001-02-01,YKBNK,0.2
2001-03-01,AKSA,0.2
2001-03-01,BSOKE,0.2
2001-03-01,CLEBI,0.2
2001-03-01,OYAKC,0.2
2001-03-01,TUPRS,0.2
2001-03-31,AGHOL,0.2
2001-03-31,ALARK,0.2
2001-03-31,BRYAT,0.2
2001-03-31,IPEKE,0.2
2001-03-31,SAHOL,0.2
2001-04-02,BSOKE,0.2
2001-04-02,CIMSA,0.2
2001-04-02,CLEBI,0.2
2001-04-02,OYAKC,0.2
2001-04-02,TUPRS,0.2
2001-05-01,AKSA,0.2
2001-05-01,BSOKE,0.2
2001-05-01,CLEBI,0.2
2001-05-01,OYAKC,0.2
2001-05-01,TUPRS,0.2
2001-06-01,BSOKE,0.2
2001-06-01,CLEBI,0.2
2001-06-01,OYAKC,0.2
2001-06-01,TSKB,0.2
2001-06-01,TUPRS,0.2
2001-06-30,ALARK,0.2
2001-06-30,BRYAT,0.2
2001-06-30,DOHOL,0.2
2001-06-30,IPEKE,0.2
2001-06-30,SAHOL,0.2
2001-07-02,BSOKE,0.2
2001-07-02,CLEBI,0.2
2001-07-02,EGEEN,0.2
2001-07-02,OYAKC,0.2
2001-07-02,TUPRS,0.2
2001-08-01,CIMSA,0.2
2001-08-01,CLEBI,0.2
2001-08-01,EGEEN,0.2
2001-08-01,OYAKC,0.2
2001-08-01,TUPRS,0.2
2001-09-03,ANSGR,0.2
2001-09-03,CIMSA,0.2
2001-09-03,GSRAY,0.2
2001-09-03,OYAKC,0.2
2001-09-03,TUPRS,0.2
2001-09-30,AGHOL,0.2
2001-09-30,ALARK,0.2
2001-09-30,BRYAT,0.2
2001-09-30,IPEKE,0.2
2001-09-30,SAHOL,0.2
2001-10-01,BSOKE,0.2
2001-10-01,CIMSA,0.2
2001-10-01,CLEBI,0.2
2001-10-01,OYAKC,0.2
2001-10-01,TUPRS,0.2
2001-11-01,ANSGR,0.2
2001-11-01,CLEBI,0.2
2001-11-01,GSRAY,0.2
2001-11-01,OYAKC,0.2
2001-11-01,TUPRS,0.2
2001-12-03,EGEEN,0.2
2001-12-03,GSRAY,0.2
2001-12-03,HEKTS,0.2
2001-12-03,OYAKC,0.2
2001-12-03,TUPRS,0.2
2001-12-31,AGHOL,0.2
2001-12-31,ALARK,0.2
2001-12-31,BRYAT,0.2
2001-12-31,DOHOL,0.2
2001-12-31,IPEKE,0.2
2002-01-01,ANSGR,0.2
2002-01-01,BSOKE,0.2
2002-01-01,CLEBI,0.2
2002-01-01,OYAKC,0.2
2002-01-01,TUPRS,0.2
2002-02-01,BSOKE,0.2
2002-02-01,CLEBI,0.2
2002-02-01,GSRAY,0.2
2002-02-01,OYAKC,0.2
2002-02-01,TUPRS,0.2
2002-03-01,BSOKE,0.2
2002-03-01,EGEEN,0.2
2002-03-01,GSRAY,0.2
2002-03-01,OYAKC,0.2
2002-03-01,TUPRS,0.2
2002-03-31,AGHOL,0.2
2002-03-31,ALARK,0.2
2002-03-31,DOHOL,0.2
2002-03-31,GSRAY,0.2
2002-03-31,SAHOL,0.2
2002-04-01,BSOKE,0.2
2002-04-01,CLEBI,0.2
2002-04-01,EGEEN,0.2
2002-04-01,OYAKC,0.2
2002-04-01,TUPRS,0.2
2002-05-01,CIMSA,0.2
2002-05-01,CLEBI,0.2
2002-05-01,EGEEN,0.2
2002-05-01,GSRAY,0.2
2002-05-01,OYAKC,0.2
2002-06-03,CIMSA,0.2
2002-06-03,CLEBI,0.2
2002-06-03,EGEEN,0.2
2002-06-03,GSRAY,0.2
2002-06-03,OYAKC,0.2
2002-06-30,AGHOL,0.2
2002-06-30,ALARK,0.2
2002-06-30,DOHOL,0.2
2002-06-30,GSRAY,0.2
2002-06-30,SAHOL,0.2
2002-07-01,CIMSA,0.2
2002-07-01,CLEBI,0.2
2002-07-01,EGEEN,0.2
2002-07-01,OYAKC,0.2
2002-07-01,RALYH,0.2
2002-08-01,ASELS,0.2
2002-08-01,CLEBI,0.2
2002-08-01,EGEEN,0.2
2002-08-01,GSRAY,0.2
2002-08-01,OYAKC,0.2
2002-08-30,BSOKE,0.2
2002-08-30,HEKTS,0.2
2002-08-30,RALYH,0.2
2002-08-30,TURSG,0.2
2002-08-30,ZOREN,0.2
2002-08-31,ANSGR,0.2
2002-08-31,CIMSA,0.2
2002-08-31,CLEBI,0.2
2002-08-31,EGEEN,0.2
2002-08-31,OYAKC,0.2
2002-09-02,ANSGR,0.2
2002-09-02,CIMSA,0.2
2002-09-02,CLEBI,0.2
2002-09-02,EGEEN,0.2
2002-09-02,OYAKC,0.2
2002-10-01,CIMSA,0.2
2002-10-01,CLEBI,0.2
2002-10-01,EGEEN,0.2
2002-10-01,HEKTS,0.2
2002-10-01,OYAKC,0.2
2002-11-01,BSOKE,0.2
2002-11-01,CIMSA,0.2
2002-11-01,CLEBI,0.2
2002-11-01,GSRAY,0.2
2002-11-01,OYAKC,0.2
2002-11-30,ANSGR,0.2
2002-11-30,ARCLK,0.2
